"filename", "language", "Python", "C++", "TypeScript", "XML", "comment", "blank", "total"
"/Users/ethan/LocalFiles/ResearchFile/EntelechySystem/.idea_c/codeStyles/codeStyleConfig.xml", "XML", 0, 0, 0, 5, 0, 0, 5
"/Users/ethan/LocalFiles/ResearchFile/EntelechySystem/.idea_c/inspectionProfiles/Project_Default.xml", "XML", 0, 0, 0, 12, 0, 0, 12
"/Users/ethan/LocalFiles/ResearchFile/EntelechySystem/.idea_c/misc.xml", "XML", 0, 0, 0, 11, 0, 0, 11
"/Users/ethan/LocalFiles/ResearchFile/EntelechySystem/.idea_c/modules.xml", "XML", 0, 0, 0, 8, 0, 0, 8
"/Users/ethan/LocalFiles/ResearchFile/EntelechySystem/.idea_c/vcs.xml", "XML", 0, 0, 0, 6, 0, 0, 6
"/Users/ethan/LocalFiles/ResearchFile/EntelechySystem/CppEntelechySystem/Core/Agent/Agent.cpp", "C++", 0, 1, 0, 0, 3, 4, 8
"/Users/ethan/LocalFiles/ResearchFile/EntelechySystem/CppEntelechySystem/Core/Agent/Agent.h", "C++", 0, 6, 0, 0, 3, 8, 17
"/Users/ethan/LocalFiles/ResearchFile/EntelechySystem/CppEntelechySystem/Core/Content/Content.cpp", "C++", 0, 29, 0, 0, 3, 22, 54
"/Users/ethan/LocalFiles/ResearchFile/EntelechySystem/CppEntelechySystem/Core/Content/Content.h", "C++", 0, 23, 0, 0, 5, 19, 47
"/Users/ethan/LocalFiles/ResearchFile/EntelechySystem/CppEntelechySystem/Core/FunctionManager.cpp", "C++", 0, 3, 0, 0, 3, 4, 10
"/Users/ethan/LocalFiles/ResearchFile/EntelechySystem/CppEntelechySystem/Core/FunctionManager.h", "C++", 0, 7, 0, 0, 3, 7, 17
"/Users/ethan/LocalFiles/ResearchFile/EntelechySystem/CppEntelechySystem/Core/KnowledgeBase/KnowledgeManager.cpp", "C++", 0, 1, 0, 0, 3, 2, 6
"/Users/ethan/LocalFiles/ResearchFile/EntelechySystem/CppEntelechySystem/Core/KnowledgeBase/KnowledgeManager.h", "C++", 0, 5, 0, 0, 3, 7, 15
"/Users/ethan/LocalFiles/ResearchFile/EntelechySystem/CppEntelechySystem/Core/Lingo/Lingo.cpp", "C++", 0, 4, 0, 0, 3, 3, 10
"/Users/ethan/LocalFiles/ResearchFile/EntelechySystem/CppEntelechySystem/Core/Lingo/Lingo.h", "C++", 0, 10, 0, 0, 3, 7, 20
"/Users/ethan/LocalFiles/ResearchFile/EntelechySystem/CppEntelechySystem/Core/Machine/MachineCollection.h", "C++", 0, 5, 0, 0, 3, 4, 12
"/Users/ethan/LocalFiles/ResearchFile/EntelechySystem/CppEntelechySystem/Core/Machine/NeedsMachine.cpp", "C++", 0, 3, 0, 0, 3, 3, 9
"/Users/ethan/LocalFiles/ResearchFile/EntelechySystem/CppEntelechySystem/Core/Machine/NeedsMachine.h", "C++", 0, 8, 0, 0, 6, 8, 22
"/Users/ethan/LocalFiles/ResearchFile/EntelechySystem/CppEntelechySystem/Core/Neure/Neure.cpp", "C++", 0, 1, 0, 0, 3, 2, 6
